Age (Ma),Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu/Eu*,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,,2 settings（ssrf）,2 settings（rf）,7 detailed settings（ssrf）,7 detailed settings（rf）
2443,7.82,690,10113,60.4,205,0.039,5.03,0.38,1.24,0.324117994,10.3,4.5,59.9,24.3,110,28.2,301,49.3,,Continental,Continental,Continental arc,Continental arc
3460,4.557118826,531.94625,8950,68.5,201.8,0.038,4.41,0.71,1.36,0.524736645,8.09,2.95,38.8,17.38,88.5,22.39,246.2,53,,Continental,Continental,Continental arc,Continental arc
2189,8.57,457,11004,69.5,172,0.037,3.38,0.51,0.81,0.221580255,7.57,2.96,37.8,13.9,62.4,15,152,25.7,,Continental,Continental,Continental arc,Continental arc
3464,3.916952133,664.94625,9500,67.1,162.3,0.037,11.84,1.25,2.7,0.366284499,14.39,4.77,56,22.03,101.3,22.99,225,44,,Continental,Continental,Continental arc,Continental arc
3476,3.895251568,479.94625,9430,42.1,128,0.037,3.84,0.93,1.49,0.47331169,8.39,3.04,39.3,15.25,74.5,18.26,194.3,40.39,,Continental,Continental,Continental arc,Continental arc
2716,8.49,657,9859,116,172,0.036,11.8,2.85,4.76,0.349308641,21.9,6.44,65.2,22.7,94.8,21.4,214,35.2,,Continental,Continental,Continental arc,Continental arc
2452,12.7,959,9697,78.2,211,0.032,7.03,0.79,1.92,0.267554239,12.5,5.47,76.4,31.6,156,38.1,405,69.7,,Continental,Continental,Continental arc,Continental arc
3454,6.723627466,2459.94625,7830,102.4,167.4,0.032,11.56,4.22,9.85,0.326520853,61.2,19.89,225.7,78,312.8,61.9,524,89.2,,Continental,Oceanic,Hotspot-MOR,Hotspot-MOR
3335,14.4,1544,11700,164,278,0.03,17.1,2.3,4.9,1.019923393,42,25,174,45,149,32,261,55,,Continental,Continental,Continental arc,Continental arc
3350,23.4,1718,12900,182,351,0.03,17.5,2.2,4.5,1.285919597,48,32,247,62,187,37,315,61,,Continental,Continental,Continental arc,Continental arc
3450,13.1,1066,13100,244,320,0.03,14.7,1.8,3.8,1.113425548,30,19,153,39,122,23,192,39,,Continental,Continental,Continental arc,Continental arc
2666,8.76,897,9892,133,256,0.028,13.9,1.29,2.75,0.339456556,18.3,6.29,80.1,31.3,140,32.3,319,52.4,,Continental,Continental,Continental arc,Continental arc
2496,5.01,1077,8286,97.3,190,0.027,7.93,0.75,1.98,0.31955689,17.1,6.64,84.8,35.1,162,38.2,384,67.6,,Continental,Continental,Continental arc,Continental arc
2518,13.3,1308,9682,96.4,296,0.027,12.1,0.12,2.49,0.293444284,17.2,6.96,93,41,200,49.2,513,87.1,,Continental,Continental,Continental arc,Continental arc
2663,9.08,481,9457,41.3,91.5,0.026,5.64,1.19,2.56,0.308853144,12.8,4.2,44.7,15.6,63.9,12.8,117,20.3,,Continental,Continental,Continental arc,Continental arc
3467,6.152110414,1938.94625,8540,76.5,131.8,0.025,10.31,4.34,9.16,0.312365055,53.1,16.8,180,62.4,247,48.8,411,66.1,,Continental,Oceanic,Hotspot-MOR,Hotspot-MOR
